group,grade,tagender,taidgender
3,77.4,0,1
3,89.02,0,1
3,53.5,0,1
3,88.32,0,1
3,90.02,0,1
3,85.88,0,1
3,86.43,0,1
3,71.19,0,1
3,84.76,0,1
3,95.1,0,1
3,79.24,0,1
3,53.94,0,1
4,70.93,1,1
4,79.76,1,1
4,68.98,1,1
4,78.51,1,1
4,70.19,1,1
4,80.37,1,1
4,81.36,1,1
4,73.82,1,1
4,74.9,1,1
4,82.82,1,1
4,80.13,1,1
5,92.24,0,0
5,83.14,0,0
5,89.07,0,0
5,76.1,0,0
5,91.57,0,0
5,83.77,0,0
5,83.42,0,0
5,85.94,0,0
5,78.49,0,0
5,85.14,0,0
5,93.52,0,0
6,69.38,1,0
6,75.5,1,0
6,60.5,1,0
6,49.46,1,0
6,81.81,1,0
6,77.64,1,0
6,78.25,1,0
6,79.61,1,0
6,85.05,1,0
6,80.61,1,0
6,77.76,1,0
6,74.62,1,0
6,84.26,1,0
