ID,Class,Gender,Age,number.online.courses.taken,TA,Question,Likert.Score,Theme,ScoreNegPos
1,3,female,21,3,Jesse,Facilitated.learning,4,teaching,1
1,3,female,21,3,Jesse,Provided.helpful.feedback,5,teaching,2
1,3,female,21,3,Jesse,Is.an.expert,4,knowledge,1
1,3,female,21,3,Jesse,Graded.in.a.timely.manner,5,professional,2
1,3,female,21,3,Jesse,Graded.Fairly,5,teaching,2
1,3,female,21,3,Jesse,Did.NOT.respond.to.email.promptly,5,professional,2
1,3,female,21,3,Jesse,Knowledgable.of.course.content,5,knowledge,2
1,3,female,21,3,Jesse,Helpful.feedback.vias.Canvas.discussion,5,teaching,2
1,3,female,21,3,Jesse,Consistently.fulfilled.responsibilities,5,professional,2
1,3,female,21,3,Jesse,Considerate.in.communication,5,approachable,2
1,3,female,21,3,Jesse,Treated.me.with.respect,5,approachable,2
1,3,female,21,3,Jesse,Enthusiastic,5,approachable,2
1,3,female,21,3,Jesse,Professional,5,professional,2
1,3,female,21,3,Jesse,TA.again,4,teaching,1
2,2,female,19,> 5,Jesse,Facilitated.learning,4,teaching,1
2,2,female,19,> 5,Jesse,Provided.helpful.feedback,5,teaching,2
2,2,female,19,> 5,Jesse,Is.an.expert,5,knowledge,2
2,2,female,19,> 5,Jesse,Graded.in.a.timely.manner,4,professional,1
2,2,female,19,> 5,Jesse,Graded.Fairly,4,teaching,1
2,2,female,19,> 5,Jesse,Did.NOT.respond.to.email.promptly,2,professional,-1
2,2,female,19,> 5,Jesse,Knowledgable.of.course.content,4,knowledge,1
2,2,female,19,> 5,Jesse,Helpful.feedback.vias.Canvas.discussion,3,teaching,0
2,2,female,19,> 5,Jesse,Consistently.fulfilled.responsibilities,5,professional,2
2,2,female,19,> 5,Jesse,Considerate.in.communication,5,approachable,2
2,2,female,19,> 5,Jesse,Treated.me.with.respect,5,approachable,2
2,2,female,19,> 5,Jesse,Enthusiastic,5,approachable,2
2,2,female,19,> 5,Jesse,Professional,5,professional,2
